,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_loss_weight_factor,params_lstm_dropout,params_lstm_hidden_size,params_lstm_num_layers,params_tcn_dropout,params_tcn_kernel_size,params_tcn_num_channels,params_weight_decay,state
0,0,1.87998578385846,2025-05-30 15:10:16.782772,2025-05-30 15:10:53.415612,0 days 00:00:36.632840,64,0.0001507395116851146,4.1661667652620515,0.2201756285712123,32,3,0.2746614132775623,3,"[40, 40, 40]",4.054513577414414e-05,COMPLETE
1,1,2.996496491055424,2025-05-30 15:10:53.416818,2025-05-30 15:11:38.290047,0 days 00:00:44.873229,64,0.004550380581731005,3.4574766270072197,0.2763314796375882,64,3,0.2781821089136014,4,"[30, 30, 30]",7.065694874978239e-05,COMPLETE
2,2,1.6930340262637045,2025-05-30 15:11:38.291563,2025-05-30 15:12:50.975236,0 days 00:01:12.683673,32,0.0005130204799616467,3.3859847854332648,0.2277133613638414,128,3,0.41136658227038675,3,"[40, 40, 40]",0.0002762039205680753,COMPLETE
3,3,1.8852845130401097,2025-05-30 15:12:50.976171,2025-05-30 15:13:19.322341,0 days 00:00:28.346170,64,0.0010426737664900885,3.5104285319309536,0.4689384410732561,64,1,0.4358732700825676,4,"[20, 20, 20]",6.871919437787609e-06,COMPLETE
4,4,1.5280399726573461,2025-05-30 15:13:19.323186,2025-05-30 15:14:01.419880,0 days 00:00:42.096694,64,1.9211622856249477e-05,3.0206215183068017,0.41122856477580444,32,2,0.4446164885579168,2,"[20, 20, 20]",1.437573140746019e-05,COMPLETE
5,5,5.5891427573812145,2025-05-30 15:14:01.420501,2025-05-30 15:14:02.452882,0 days 00:00:01.032381,128,0.0036530907206034067,4.573323197168068,0.2712134236923503,64,2,0.38226470754074926,4,"[30, 60, 120]",0.00024145724513846803,PRUNED
6,6,5.133800903336151,2025-05-30 15:14:02.453270,2025-05-30 15:14:04.085252,0 days 00:00:01.631982,64,0.0011286143842199798,1.7126936950324374,0.37018996084137823,64,2,0.30157583975813634,4,"[30, 60, 120]",0.0005566018749777138,PRUNED
7,7,1.2728408423571593,2025-05-30 15:14:04.085561,2025-05-30 15:15:09.091567,0 days 00:01:05.006006,32,1.4095553604305015e-05,2.262580117042548,0.24232155955925067,64,3,0.44937414871811865,2,"[30, 30, 30]",0.00015373803515697957,COMPLETE
8,8,4.05944531061089,2025-05-30 15:15:09.092526,2025-05-30 15:15:11.395822,0 days 00:00:02.303296,32,0.002506366584773188,2.7538255849170583,0.4523212935379502,64,3,0.48586502115940533,2,"[30, 30, 30]",9.62865607396665e-06,PRUNED
9,9,2.2192703255709536,2025-05-30 15:15:11.396186,2025-05-30 15:15:12.397777,0 days 00:00:01.001591,64,2.017191200773482e-05,4.647656672482173,0.46299280517448727,128,1,0.2975748101599063,2,"[20, 20, 20]",1.4780825295920317e-06,PRUNED
10,10,1.3664844369222366,2025-05-30 15:15:12.398073,2025-05-30 15:15:59.331839,0 days 00:00:46.933766,32,0.00012442947805108094,1.7563060585291799,0.32490787059434306,32,3,0.20241851707077876,2,"[30, 30, 30]",9.73712220002267e-05,COMPLETE
11,11,1.274098652658237,2025-05-30 15:15:59.332417,2025-05-30 15:16:46.267317,0 days 00:00:46.934900,32,9.077833270438588e-05,1.8277143641118005,0.3182008394037598,32,3,0.3504772713493394,2,"[30, 30, 30]",0.0001028783231064391,COMPLETE
12,12,1.422913861322715,2025-05-30 15:16:46.269103,2025-05-30 15:17:35.614003,0 days 00:00:49.344900,32,4.831118619224147e-05,2.3094225163066993,0.3143196145886848,32,3,0.3486700083224089,2,"[30, 30, 30]",0.000910147579948082,COMPLETE
13,13,1.3214263805925517,2025-05-30 15:17:35.614905,2025-05-30 15:18:19.033990,0 days 00:00:43.419085,32,5.510076749114008e-05,2.3255271400187882,0.2677356893661203,32,2,0.48580101717942203,2,"[30, 30, 30]",0.000157136929462217,COMPLETE
14,14,0.9602112596696144,2025-05-30 15:18:19.034542,2025-05-30 15:18:39.933291,0 days 00:00:20.898749,128,1.4382785521569526e-05,1.5074734187458394,0.36089049256184,128,3,0.35013629501627525,2,"[30, 30, 30]",2.9514228988803226e-05,COMPLETE
15,15,1.2756486937936131,2025-05-30 15:18:39.934125,2025-05-30 15:18:59.164401,0 days 00:00:19.230276,128,1.1736609854842159e-05,2.333705246358174,0.3772138784882076,128,2,0.2142805259278562,3,"[30, 30, 30]",3.9721444910540404e-05,COMPLETE
16,16,1.1036960067734625,2025-05-30 15:18:59.164951,2025-05-30 15:19:17.623168,0 days 00:00:18.458217,128,3.402605768056154e-05,1.5070865658920773,0.41766645874580416,128,3,0.36056200356120266,2,"[30, 30, 30]",3.4851236822173843e-06,COMPLETE
17,17,1.0044850446377558,2025-05-30 15:19:17.623697,2025-05-30 15:19:31.648822,0 days 00:00:14.025125,128,3.89159694042022e-05,1.545152212598748,0.4240061868527198,128,1,0.3401034120762591,2,"[40, 40, 40]",2.2241154061768175e-06,COMPLETE
18,18,1.4832825936680771,2025-05-30 15:19:31.649343,2025-05-30 15:19:43.909379,0 days 00:00:12.260036,128,0.00020997337400538083,2.0150501951330413,0.4145519219329912,128,1,0.3255744722784359,2,"[40, 40, 40]",1.1776804090259081e-06,COMPLETE
19,19,1.717519749212817,2025-05-30 15:19:43.909909,2025-05-30 15:19:44.516069,0 days 00:00:00.606160,128,3.050752356004471e-05,2.8941039093805943,0.4943793351251756,128,1,0.3942501847466226,3,"[40, 40, 40]",4.139465501358004e-06,PRUNED
20,20,2.108630323026069,2025-05-30 15:19:44.516387,2025-05-30 15:19:45.121225,0 days 00:00:00.604838,128,0.0003903777021928206,3.982739426722508,0.35968610941645784,128,1,0.24564119625240335,2,"[40, 40, 40]",2.0402839038863543e-05,PRUNED
21,21,1.0708121971443303,2025-05-30 15:19:45.121528,2025-05-30 15:20:02.693695,0 days 00:00:17.572167,128,4.088141370594084e-05,1.5056908640517004,0.40403881679210285,128,2,0.3582350430284301,2,"[30, 60, 120]",2.920775159296223e-06,COMPLETE
22,22,1.1466184501139194,2025-05-30 15:20:02.694506,2025-05-30 15:20:20.299082,0 days 00:00:17.604576,128,6.863370196892246e-05,1.5307263505268434,0.3931059790302761,128,2,0.3225616244395576,2,"[30, 60, 120]",2.1886358259234717e-06,COMPLETE
23,23,1.0305270880505735,2025-05-30 15:20:20.299623,2025-05-30 15:20:36.677377,0 days 00:00:16.377754,128,2.8286282153799758e-05,1.997048074248755,0.4377467455447171,128,1,0.376232095898817,2,"[30, 60, 120]",4.3007321840567385e-06,COMPLETE
24,24,1.5266103294547262,2025-05-30 15:20:36.677916,2025-05-30 15:20:37.383978,0 days 00:00:00.706062,128,1.1052693643462642e-05,2.096837576551222,0.44361249818007864,128,1,0.3940033180374848,2,"[30, 60, 120]",5.9900128317109324e-06,PRUNED
25,25,1.6186743040569596,2025-05-30 15:20:37.384301,2025-05-30 15:20:38.093132,0 days 00:00:00.708831,128,2.311692680696835e-05,2.6160722124007263,0.4350922671708174,128,1,0.3766034220047686,2,"[30, 60, 120]",1.726364909403382e-05,PRUNED
